iter	Passed	Remaining
920	4189	359
921	4193	354
922	4198	350
923	4203	345
924	4207	341
925	4211	336
926	4214	331
927	4219	327
928	4224	322
929	4227	318
930	4231	313
931	4236	309
932	4240	304
933	4244	299
934	4249	295
935	4254	290
936	4258	286
937	4262	281
938	4267	277
939	4272	272
940	4276	268
941	4280	263
942	4285	259
943	4289	254
944	4293	249
945	4299	245
946	4304	240
947	4308	236
948	4313	231
949	4319	227
950	4323	222
951	4328	218
952	4334	213
953	4338	209
954	4343	204
955	4348	200
956	4354	195
957	4359	191
958	4364	186
959	4369	182
960	4373	177
961	4380	173
962	4384	168
963	4389	163
964	4393	159
965	4401	154
966	4406	150
967	4412	145
968	4417	141
969	4421	136
970	4425	132
971	4430	127
972	4434	123
973	4437	118
974	4441	113
975	4447	109
976	4452	104
977	4456	100
978	4461	95
979	4465	91
980	4469	86
981	4472	81
982	4476	77
983	4480	72
984	4484	68
985	4487	63
986	4491	59
987	4495	54
988	4499	50
989	4502	45
990	4506	40
991	4510	36
992	4514	31
993	4518	27
994	4523	22
995	4527	18
996	4531	13
997	4535	9
998	4538	4
999	4543	0
